أسورة			أفعلة
للملإ			للفعل
ولذكر			ولفعل
قسورة		فعللة
وسبعة		وفعلة
لتبلون			لتفعلن
حصحص		فعلل
تبصرة			تفعلة
ولأخي			ولفعل
اذهبا			افعلا
حسرتا			فعلتا
لجعله			لفعلا
كشجرة		كفعلة
لتمرون		لتفعون
ندعوه			نفعله
يعقوب		يعقوب
صرصرا		فعللا
فليدع			فليفع
اتبعت			افعلت
أخرجوا		أفعلوا
شفعاء		فعلاء
بيضاء			فعلاء
علماء			فعلاء
زرتم			فعتم
لحسرة		لفعلة
إليهن			إليهن
بنعمة			بفعلة
بلقاء			بفعال
فصيام		ففعال
فوفاه			ففعله
أراغب			أفاعل
يعصمك		يفعلك
انبعث			انفعل
هاروت		هاروت
شركاء			فعلاء
وهارون		وهارون
ذلكم			ذلكم
شئتم			فلتم
فبرأه			ففعله
جالوت		جالوت
لظلوم			لفعول
فوربك		فوفعك
بمسمع		بمفعل
زكريا			زكريا
عليهن			عليهن
أتدعون		أتفعلن
نلعنهم		نفعلهم
للقمر			للفعل
موعده		مفعله
لأهله			لفعله
فآزره			ففعله
أسرفوا			أفعلوا
ولأمة			ولفعة
وسارب		وفاعل
فخراج			ففعال
ماليه			فعليه
قوامون		فعالون
نمتعهم		نفعلهم
زلزلت			فعللت
الساحر		الفاعل
رادوه			فاعوه
سبيله			فعيله
بظلام			بفعال
بئسما			فعلما
أجمعون		أفعلون
بسلام			بفعال
اتبعن			افعلن
أترفوا			أفعلوا
لوجدوا		لفعلوا
أطعمهم		أفعلهم
لرءوف		لفعول
للبشر			للفعل
أنذروا			أفعلوا
نعبدهم		نفعلهم
فسبحه		ففعله
بالحج			بالفع
أوقدوا			أفعلوا
أجلهن			فعلهن
فعليه			فعليه
لأكلوا			لفعلوا
بدعاء			بفعال
يتبوأ			يتفعل
فسلام			ففعال
مثلهن			فعلهن
ولأجر			ولفعل
أحصروا		أفعلوا
لعلمه			لفعله
ربكما			فعكما
لأعدوا		لأفعوا
دلهم			فعهم
طالوت		طالوت
وفرعون		وفرعون
فحكمه		ففعله
وليخش		وليفع
لنعلم			لنفعل
فلنعم			فلفعل
أعرضوا		أفعلوا
بسورة			بفعلة
كمثله			كفعله
ننزله			نفعله
تنصروه		تفعلوه
نعيده			نفعله
لسعيه			لفعله
اطلعت		افعلت
تذكرة			تفعلة
لرسول		لفعول
فقدره			ففعله
ولنعم			ولفعل
مولاه			مفعله
نتبعه			نفعله
عنتم			فعلتم
لترضوا		لتفعلوا
رسوله			فعوله
يستوي		يفتعل
زحزح			فعلل
ولربك			ولفعك
لفرعون		لفرعون
بالتي			بالتي
طرائق			فعائل
فليؤد			فليفع
حرقوه			فعلوه
يوسوس		يفعلل
خلقتك		فعلتك
يأجوج			يأجوج
إطعام			إفعال
بالحر			بالفع
قرناء			فعلاء
قوتلوا			فوعلوا
قتلوه			فعلوه
أبرموا			أفعلوا
فوكزه			ففعله
تلقاء			تفعال
وليتق			وليفع
أدخلوا			أفعلوا
بالبر			بالفع
برزخا			فعللا
فوقاه			ففعله
وليدع			وليفع
الكافر			الفاعل
ستدعون		ستفعلن
طلقكن		فعلكن
نسلكه		نفعله
بعهدهم		بفعلهم
أعيدوا			أفعلوا
إلياس			إلياس
عدتم			فعتم
لمثله			لفعله
أجمعوا		أفعلوا
أضاعوا		أفعلوا
بغرور			بفعول
عربيا			فعليا
سلسلة		فعللة
بالمن			بالفع
كالذي			كالذي
ويولون		ويفعلون
ظنكم			فعكم
فدمدم		ففعفع
لفتاه			لفعله
يضروك		يفعوك
ويصدون		ويفعون
جهنم			جهنم
ارجعون		افعلون
لعادوا			لفعلوا
فلعنة			ففعله
يستمع		يفتعل
نعمره			نفعله
بسمعهم		بفعلهم
يعتصم		يفتعل
كأنما			كأنما
أطيعوا		أفعلوا
شرقيا			فعليا
أرادوا			أفعلوا
ليصدوا		ليفعوا
شهداء			فعلاء
دعائهم		فعلئهم
سلهم			فعهم
رحماء			فعلاء
أعجمي		أفعلي
حضروه		فعلوه
ظهريا			فعليا
سخريا		فعليا
بالسن			بالفع
وقطعن		وفعلن
عنهما			عنهما
للكفر			للفعل
قمتم			فلتم
رابعهم			فاعلهم
للذكر			للفعل
أهلهن			فعلهن
لآكلون		لفاعلون
أغرقوا			أفعلوا
حنفاء			فعلاء
إنكم			إنكم
يأتوك			يفعلوك
صوامع		فواعل
لجمعهم		لفعلهم
أكالون			فعالون
للسلم			للفعل
فبشره			ففعله
فسلكه		ففعله
يدعوك		يفعلك
إنسيا			فعليا
سماعون		فعالون
عفريت		فعليت
القاهر			الفاعل
حملهن		فعلهن
ربهما			فعهما
وبينك			وفعلك
قليلون		فعيعون
زلزلة			فعفعة
لضالون		لفعلون
الكوثر			الفعلل
بالشر			بالفع
ويخرون		ويفعون
إنهم			إنهم
بأعلم			بأفعل
ولتكن			ولتفل
فلتقم			فلتفل
للشوى		للفعل
أرسلوا			أفعلوا
أشهدوا		أفعلوا
ذلكما			ذلكما
الأشهر		الأفعل
الأبتر			الأفعل
وكلمة			وفعلة
وقارون		وقارون
ضربوه			فعلوه
لتولوا			لتفعلوا
سندس		فعلل
ضعفاء		فعلاء
نتلوه			نفعله
ادعهن			افعهن
بغلام			بفعال
ابلعي			افعلي
ظالمي			فاعلي
برسول		بفعول
ويرجون		ويفعلون
بزعمهم		بفعلهم
فقرأه			ففعله
جئتم			فعتم
تسنيم			تفعيل
اتباع			افعال
وآخرون		وفاعلون
خادعهم		فاعلهم
ويدعون		ويفعون
سرمدا			فعللا
يحموم		يفعوع
سنشد			سنفع
هؤلاء			هؤلاء
للغيب		للفعل
طبتم			فعتم
وعلمك		وفعلك
لعذبهم		لفعلهم
فصرهن		ففلهن
أورثوا			أفعلوا
الأخضر		الأفعل
نعذبه			نفعله
بالذي			بالذي
لحدود		لفعوع
لأجرا			لفعلا
ربهم			فعهم
اتبعون		افعلون
أعينهم		أفعلهم
كخلقه		كفعلة
لعناهم		فعلناهم
دخلوه			فعلوه
بضياء			بفعال
فجزاء			ففعال
وشجرة		وفعلة
فإليه			فإليه
ليضلوا		ليفعوا
فنظرة			ففعلة
تراءى			تفاعل
صلبوه		فعلوه
إنهما			إنهما
بأنعم			بأفعل
أجرموا		أفعلوا
بعورة			بفعلة
آتهم			فعهم
بالحق			بالفع
أشركوا			أفعلوا
ستجدون		ستعلون
نخلفه			نفعله
زلتم			فلتم
صرصر		فعفع
لقالوا			لفعلوا
زخرف			فعلل
أسمعهم		أفعلهم
عقلوه			فعلوه
دمتم			فلتم
ويسعون		ويفعلن
لوليه			لفعله
بربوة			بفعلة
فقربه			ففعله
ولعبد			ولفعل
سركم			فعكم
لحليم			لفعيل
بعدما			بعدما
بملوم			بمفعل
خلفاء			فعلاء
فطرهن		فعلهن
كالتي			كالتي
ربكم			فعكم
وبعهد			وبفعل
نصليه			نفعله
عنهم			عنهم
ويذرون		ويفعون
فرادى			فعالى
للخير			للفعل
سرهم			فعهم
أبسلوا			أفعلوا
بنعمت		بفعلة
مقامع			مفاعل
إنشاء			إفعال
وطهرك		وفعلك
فليأت			فليفع
نتبعهم		نفعلهم
ولبئس		ولفعل
سندع			سنفع
لعليم			لفعيل
للقوم			للفعل
صفراء			فعلاء
لدلوك			لفعوك
عنكم			عنكم
للسمع		للفعل
نعماء			فعلاء
خلقهن		فعلهن
القادر			الفاعل
أذاعوا			أفعلوا
الأكبر			الأفعل
يضلوك		يفعلوك
فلأمه			فلفعه
ارجعي			افعلي
لعبرة			لفعلة
فكيدون		فيفعلون
فقراء			فعلاء
ادعوهم		افعلوهم
ذرهم			فعهم
شئتما			فلتما
نعجزه			نفعله
قلتم			فلتم
فحسبه		ففعله
